academic_year,tap_college_code,federal_school_code,level,tap_level_of_study,tap_college_name,sector_type,tap_sector_group,tap_recipient_headcount,tap_recipient_ftes,tap_recipient_dollars
2005,5216,2693,G,Grad,CUNY JOHN JAY COLLEGE GRAD,PUBLIC,1-CUNY SR,88,55.75,23834.5
2012,1418,4759,U,5 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,67,50.5,206874.5
2012,1414,2693,U,4 yr Undergrad,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,6761,5549.25,20935364.66
2012,1416,2690,U,5 yr Undergrad,CUNY QUEENS COLLEGE,PUBLIC,1-CUNY SR,115,76.5,334874.25
2012,1415,10097,U,2 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,1775,1131.5,4481339.66
2017,1415,10097,U,4 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,2135,1555.58,5972144.34
2009,1405,2696,U,2 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,4423,3092.71,10834229.29
2009,1405,2696,U,4 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,2574,1876.25,6958599.06
2009,1405,2696,U,5 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,40,25.25,99749.25
2017,1420,4765,U,4 yr Undergrad,CUNY GRAD SCH UNDERGRAD PROG,PUBLIC,1-CUNY SR,296,217.0,749271.12
2017,1414,2693,U,5 yr Undergrad,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,85,54.25,241622.0
2012,1418,4759,U,4 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,3816,3021.0,11513923.48
2009,1409,7273,U,2 yr Undergrad,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,1,0.5,2250.0
2009,1410,2687,U,4 yr Undergrad,CUNY BROOKLYN COLLEGE,PUBLIC,1-CUNY SR,5504,4375.29,14481324.65
2009,1410,2687,U,5 yr Undergrad,CUNY BROOKLYN COLLEGE,PUBLIC,1-CUNY SR,106,77.0,317558.75
2009,1411,2688,U,4 yr Undergrad,CUNY CITY COLLEGE,PUBLIC,1-CUNY SR,5864,4860.63,16324812.55
2009,1412,7022,U,4 yr Undergrad,CUNY HERBERT H LEHMAN COLLEGE,PUBLIC,1-CUNY SR,4340,3446.5,11794377.64
2009,1412,7022,U,5 yr Undergrad,CUNY HERBERT H LEHMAN COLLEGE,PUBLIC,1-CUNY SR,129,92.5,355872.0
2009,1413,2689,U,4 yr Undergrad,CUNY HUNTER COLLEGE,PUBLIC,1-CUNY SR,5975,5084.92,16008335.98
2009,1413,2689,U,5 yr Undergrad,CUNY HUNTER COLLEGE,PUBLIC,1-CUNY SR,58,43.0,175170.75
2009,1414,2693,U,2 yr Undergrad,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,1519,1125.83,3876532.02
